ALU_OP,ALU_OP_NONE,ALU_OP_ADD,ALU_OP_SUB,ALU_OP_AND,ALU_OP_OR,ALU_OP_XOR,ALU_OP_SLL,ALU_OP_SRL,ALU_OP_SRA,ALU_OP_SLT,ALU_OP_SLTU
add,,1,,,,,,,,,
sub,,,1,,,,,,,,
xor,,,,,,1,,,,,
or,,,,,1,,,,,,
and,,,,1,,,,,,,
sll,,,,,,,1,,,,
srl,,,,,,,,1,,,
sra,,,,,,,,,1,,
slt,,,,,,,,,,1,
sltu,,,,,,,,,,,1
addi,,1,,,,,,,,,
xori,,,,,,1,,,,,
ori,,,,,1,,,,,,
andi,,,,1,,,,,,,
slli,,,,,,,1,,,,
srli,,,,,,,,1,,,
srai,,,,,,,,,1,,
slti,,,,,,,,,,1,
sltiu,,,,,,,,,,,1
lb,,1,,,,,,,,,
lh,,1,,,,,,,,,
lw,,1,,,,,,,,,
lbu,,1,,,,,,,,,
lhu,,1,,,,,,,,,
sb,,1,,,,,,,,,
sh,,1,,,,,,,,,
sw,,1,,,,,,,,,
beq,,,,,,1,,,,,
bne,,,,,,1,,,,,
blt,,,,,,,,,,1,
bge,,,,,,,,,,1,
bltu,,,,,,,,,,,1
bgeu,,,,,,,,,,,1
jal,1,,,,,,,,,,
jalr,,1,,,,,,,,,
lui,1,,,,,,,,,,
auipc,1,,,,,,,,,,